,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Mr. Wonderful Black Round - MW29002512,https://eyewa.com/ae-en/mr-wonderful-mw29002512-black.html,69912,no,309,Glossy,Full,Gray,Mr. Wonderful,Black,Metal + Acetate,Round,Wide (>139 mm),Full Rim,50 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Artlife - Spinoza,https://eyewa.com/ae-en/artlife-al30038212-black.html,69904,no,399,Matte,Full,Gray,Artlife,Black,Metal,Rectangle,Wide (>139 mm),Full Rim,56 mm,17 mm,Men,Sunglasses,No,,,,,,,,,,,,
Le Specs HERCULES,https://eyewa.com/ae-en/le-specs-hercules-lsp2002280.html,69350,no,329,,,Green,Le Specs,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,16 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 7034/G/S,https://eyewa.com/ae-en/polaroid-202932oit61c3-gold.html,68686,no,299,Glossy,Full,Gray,Polaroid,Black,Carbon,Square,Wide (>139 mm),Full Rim,61 mm,17 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 6071/S/X,https://eyewa.com/ae-en/polaroid-201882j5g56sp-gold.html,68653,no,339,Glossy,Full,Brown,Polaroid,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,56 mm,17 mm,Women,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 4094/S,https://eyewa.com/ae-en/polaroid-20338380757m9-black.html,68636,no,269,Glossy,Full,Gray,Polaroid,Black,Metal,Cat Eye,Wide (>139 mm),Full Rim,59 mm,16 mm,Women,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2092/S,https://eyewa.com/ae-en/polaroid-202922c9b56uc-tortoise.html,68601,no,279,Glossy,Full,Green,Polaroid,Tortoise,Carbon,Square,Wide (>139 mm),Full Rim,56 mm,18 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 1016/S,https://eyewa.com/ae-en/polaroid-20298308650uc-tortoise.html,68580,no,249,Glossy,Full,Green,Polaroid,Tortoise,Carbon,Square,Wide (>139 mm),Full Rim,50 mm,22 mm,Men,Sunglasses,No,,,,,,,,,,,,
BlackOut NIKITA,https://eyewa.com/ae-en/blackout-nikita-000204-2702.html,62401,yes,199,Glossy,Full,Blue,BlackOut,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,66 mm,16 mm,Women,Sunglasses,No,140 mm,174,,,,,,,,,,
TOPFOXX Brittany,https://eyewa.com/ae-en/topfoxx-brittany-brt-tort.html,61820,yes,219,Glossy,Full,Gray,TOPFOXX,Tortoise,Plastic,Round,Wide (>139 mm),Full Rim,44 mm,16 mm,Women,Sunglasses,No,104 mm,153,,,,,,,,,,
Mr. Wonderful Tortoise Cat Eye - MW29053596,https://eyewa.com/ae-en/mr-wonderful-tortoise-cat-eye-mw29053596-mw29053596.html,61642,yes,219,Glossy,Gradient,Brown,Mr. Wonderful,Tortoise,Plastic,Cat Eye,Normal (132-138 mm),Full Rim,54 mm,18 mm,Women,Sunglasses,No,134 mm,153,,,,,,,,,,
Mr. Wonderful Gold Aviator - MW29051101,https://eyewa.com/ae-en/mr-wonderful-gold-aviator-mw29051101-mw29051101.html,61629,yes,309,Glossy,Gradient,Blue,Mr. Wonderful,Gold,Metal,Aviator,Normal (132-138 mm),Full Rim,62 mm,17 mm,Women,Sunglasses,No,137 mm,216,,,,,,,,,,
Mr. Wonderful Rose Gold Aviator - MW29043100,https://eyewa.com/ae-en/mr-wonderful-rose-gold-aviator-mw29043100-mw29043100.html,61602,yes,309,Glossy,Gradient,Purple,Mr. Wonderful,Rose Gold,Metal,Aviator,Normal (132-138 mm),Full Rim,54 mm,17 mm,Women,Sunglasses,No,130 mm,216,,,,,,,,,,
MVMT AVIATOR,https://eyewa.com/ae-en/mvmt-plastic-aviator-kng-tort.html,60566,yes,279,Glossy,Full,Green,MVMT,Tortoise,Acetate,Aviator,Wide (>139 mm),Full Rim,53 mm,18 mm,"Men, Women",Sunglasses,No,140 mm,223,,,,,,,,,,
MVMT COMBO AVIATOR,https://eyewa.com/ae-en/mvmt-combo-aviator-aer-tort.html,60557,yes,259,Glossy,Full,Brown,MVMT,Tortoise,Metal + Acetate,Aviator,Wide (>139 mm),Full Rim,49 mm,18 mm,"Men, Women",Sunglasses,No,145 mm,207,,,,,,,,,,
Le Specs Fire Starter,https://eyewa.com/ae-en/le-specs-fire-starter-lsp1902042.html,60429,yes,249,Matte,Full,Gray,Le Specs,Black,Plastic,Round,Wide (>139 mm),,49 mm,21 mm,"Men, Women",Sunglasses,No,145 mm,199,,,,,,,,,,
ROAV Lennox,https://eyewa.com/ae-en/roav-lennox-8002-13-41.html,59847,yes,639,Matte,Gradient,Gray,ROAV,,Metal,Square,Wide (>139 mm),Full Rim,53 mm,20 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
CHPO VIK,https://eyewa.com/ae-en/chpo-vik-16132ka.html,59353,yes,159,Glossy,Full,Black,CHPO,Tortoise,Plastic,Square,Wide (>139 mm),Full Rim,49 mm,12 mm,"Men, Women",Sunglasses,No,142 mm,125,,,,,,,,,,
30Sundays A-LISTER,https://eyewa.com/ae-en/30sundays-a-lister-000201-1304.html,59151,yes,439,Glossy,Gradient,Brown,30Sundays,Tortoise,Acetate,Aviator,Wide (>139 mm),Full Rim,57 mm,16 mm,Men,Sunglasses,Yes,149.1 mm,395,,,,,,,,,,
30Sundays HIGH ROLLER,https://eyewa.com/ae-en/30sundays-high-roller-000200-1304.html,59149,yes,439,Glossy,Gradient,Brown,30Sundays,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,57 mm,16 mm,Men,Sunglasses,Yes,145.4 mm,395,,,,,,,,,,
30Sundays SQUARE ONE,https://eyewa.com/ae-en/30sundays-square-one-000120-2307.html,59142,yes,369,Glossy,Gradient,Gray,30Sundays,Rose Gold,Metal,Square,Wide (>139 mm),Full Rim,59 mm,17 mm,Women,Sunglasses,Yes,149 mm,332,,,,,,,,,,
30Sundays SAIL OFF,https://eyewa.com/ae-en/30sundays-sail-off-000129-1304.html,59109,yes,369,Glossy,Full,Brown,30Sundays,Tortoise,Acetate,Round,Normal (132-138 mm),Full Rim,51 mm,19 mm,Women,Sunglasses,Yes,135.5 mm,332,,,,,,,,,,
30Sundays DAREDEVIL,https://eyewa.com/ae-en/30sundays-daredevil-000213-0107.html,59011,yes,369,Glossy,Full,Gray,30Sundays,Black,Acetate,Round,Normal (132-138 mm),Full Rim,50 mm,20 mm,"Men, Women",Sunglasses,Yes,135 mm,332,,,,,,,,,,
Roav BALTO,https://eyewa.com/ae-en/roav-balto-1003-12-41-gray.html,13416,yes,639,Matte,Gradient,,ROAV,Gray,Metal,Round,Wide (>139 mm),,51 mm,21 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
Polaroid - Junior PLD 8018/S,https://eyewa.com/ae-en/polaroid-223823yyv47y2-black.html,70034,no,269,,,Gray,Polaroid,Black,Plastic,Square,Wide (>139 mm),Full Rim,54 mm,17 mm,Kids,Sunglasses,No,,,,,,,,,,,,
Polaroid - Junior PLD 8015/N/NEW,https://eyewa.com/ae-en/polaroid-20290101050ex-silver.html,70032,no,179,,,Gray,Polaroid,Silver,Metal,Aviator,Wide (>139 mm),Full Rim,56 mm,12 mm,Kids,Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER - TH 1850/G/S,https://eyewa.com/ae-en/tommy-hilfiger-20384808654qt-tortoise.html,69998,no,669,,,Green,Tommy Hilfiger,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,57 mm,21 mm,Men,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 525/S,https://eyewa.com/ae-en/marc-jacobs-20382008655ha-tortoise.html,69966,no,559,,,Brown,Marc Jacobs,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,57 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 421/S,https://eyewa.com/ae-en/marc-jacobs-202572dxh54ir-tortoise.html,69955,no,629,,,Gray,Marc Jacobs,Tortoise,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,60 mm,18 mm,Kids,Sunglasses,No,,,,,,,,,,,,
CARRERA - 247/S,https://eyewa.com/ae-en/carrera-2037892f7589o-gold.html,69944,no,859,,,Gray,Carrera,Gold,Titanium,Aviator,Wide (>139 mm),Full Rim,66 mm,17 mm,Men,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Square - MW29064513,https://eyewa.com/ae-en/mr-wonderful-mw29064513-black.html,69926,no,219,Glossy,Gradient,Gray,Mr. Wonderful,Black,Plastic,Square,Wide (>139 mm),Full Rim,50 mm,19 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Sqaure - MW29064512,https://eyewa.com/ae-en/mr-wonderful-mw29064512-black.html,69925,no,219,Glossy,Full,Gray,Mr. Wonderful,Black,Plastic,Square,Wide (>139 mm),Full Rim,50 mm,19 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Pink Sqaure - MW29063567,https://eyewa.com/ae-en/mr-wonderful-mw29063567-pink.html,69923,no,219,Glossy,Gradient,Brown,Mr. Wonderful,Pink,Plastic,Square,Normal (132-138 mm),Full Rim,52 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Tortoise Square - MW29063540,https://eyewa.com/ae-en/mr-wonderful-mw29063540-tortoise.html,69922,no,219,Matte,Gradient,Blue,Mr. Wonderful,Tortoise,Plastic,Square,Normal (132-138 mm),Full Rim,52 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Square - MW29063512,https://eyewa.com/ae-en/mr-wonderful-mw29063512-black.html,69920,no,219,Glossy,Gradient,Gray,Mr. Wonderful,Black,Plastic,Square,Normal (132-138 mm),Full Rim,52 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Round - MW29018512,https://eyewa.com/ae-en/mr-wonderful-mw29018512-black.html,69918,no,219,Glossy,Full,Gray,Mr. Wonderful,Black,Plastic,Round,Normal (132-138 mm),Full Rim,50 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Round - MW29004512,https://eyewa.com/ae-en/mr-wonderful-mw29004512-black.html,69915,no,219,Glossy,Full,Gray,Mr. Wonderful,Black,Plastic,Round,Wide (>139 mm),Full Rim,46 mm,23 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Tortoise Square - MW29003596,https://eyewa.com/ae-en/mr-wonderful-mw29003596-tortoise.html,69914,no,219,Glossy,Mirror,Silver,Mr. Wonderful,Tortoise,Plastic,Square,Wide (>139 mm),Full Rim,49 mm,21 mm,Women,Sunglasses,No,,,,,,,,,,,,
Le Specs BANDWAGON,https://eyewa.com/ae-en/le-specs-bandwagon-lsp1502053.html,69361,no,249,,,Green,Le Specs,Black,Metal,Round,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs THE PRINCE,https://eyewa.com/ae-en/le-specs-the-prince-lsp1602147.html,69360,no,329,Matte,,Gray,Le Specs,Black,Plastic,Aviator,Wide (>139 mm),Full Rim,57 mm,15 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs AIR HEART,https://eyewa.com/ae-en/le-specs-air-heart-lsp1602175.html,69359,no,249,,,Green,Le Specs,Black,Plastic,Cat Eye,Wide (>139 mm),Full Rim,51 mm,22 mm,Women,Sunglasses,No,,,,,,,,,,,,
Le Specs NO BIGGIE,https://eyewa.com/ae-en/le-specs-no-biggie-lsp1702056.html,69357,no,249,,,Gray,Le Specs,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,49 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs FAIR GAME,https://eyewa.com/ae-en/le-specs-fair-game-lsp1802161.html,69356,no,179,Matte,,Gray,Le Specs,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Sunglasses,No,,,,,,,,,,,,
Le Specs AZZURRA R,https://eyewa.com/ae-en/le-specs-azzurra-r-lsp2002232.html,69353,no,249,,,Green,Le Specs,Blue,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,15 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs HERCULES R,https://eyewa.com/ae-en/le-specs-hercules-r-lsp2002282.html,69349,no,329,,,Gray,Le Specs,Silver,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,16 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs EVERMORE,https://eyewa.com/ae-en/le-specs-evermore-lsp2002283.html,69348,no,329,,,Green,Le Specs,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,58 mm,15 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs NEWFANGLE,https://eyewa.com/ae-en/le-specs-newfangle-lsp2002286.html,69347,no,289,,,Green,Le Specs,Gold,Metal,Round,Wide (>139 mm),Full Rim,53 mm,19 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs HIGH FANGLE,https://eyewa.com/ae-en/le-specs-high-fangle-lsp2002294.html,69343,no,329,,,Green,Le Specs,Black,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,15 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs COVERT R,https://eyewa.com/ae-en/le-specs-covert-r-lsp2102308.html,69341,no,289,,,Green,Le Specs,Green,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,17 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs COVERT,https://eyewa.com/ae-en/le-specs-covert-lsp2102309.html,69340,no,289,,,Gray,Le Specs,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,17 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs GRASS HALF FULL,https://eyewa.com/ae-en/le-specs-grass-half-full-lsu2029502.html,69338,no,329,,,Gold,Le Specs,Brown,Plastic,Rectangle,Wide (>139 mm),Full Rim,54 mm,19 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Le Specs HOURGRASS,https://eyewa.com/ae-en/le-specs-hourgrass-lsu2029514.html,69337,no,329,,Mirror,Brown,Le Specs,Black,Plastic,Cat Eye,Wide (>139 mm),Full Rim,51 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 6123/S,https://eyewa.com/ae-en/polaroid-203158rhl54m9-gold.html,68680,no,319,Glossy,Full,Gray,Polaroid,Gold,Metal,Oval,Wide (>139 mm),Full Rim,54 mm,17 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 6095/S,https://eyewa.com/ae-en/polaroid-20243908657la-tortoise.html,68661,no,249,Glossy,Full,Brown,Polaroid,Tortoise,Carbon,Round,Wide (>139 mm),Full Rim,57 mm,14 mm,Women,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 4081/S,https://eyewa.com/ae-en/polaroid-20244780753wj-black.html,68625,no,249,Glossy,Full,Gray,Polaroid,Black,Carbon,Cat Eye,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2096/S,https://eyewa.com/ae-en/polaroid-20339080748m9-black.html,68607,no,249,Glossy,Full,Gray,Polaroid,Black,Carbon,Round,Wide (>139 mm),Full Rim,48 mm,23 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2091/S,https://eyewa.com/ae-en/polaroid-20292300350m9-matte-black.html,68599,no,279,Matte,Full,Gray,Polaroid,,Carbon,Round,Wide (>139 mm),Full Rim,50 mm,24 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2088/S,https://eyewa.com/ae-en/polaroid-2029050vk55m9-matte-black.html,68596,no,249,Matte,Full,Gray,Polaroid,,Carbon,Rectangle,Wide (>139 mm),Full Rim,55 mm,18 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2044/S,https://eyewa.com/ae-en/polaroid-20014880760m9-black.html,68581,no,389,Glossy,Full,Gray,Polaroid,Black,Metal,Square,Wide (>139 mm),Full Rim,60 mm,16 mm,Men,Sunglasses,No,,,,,,,,,,,,
CARRERA - 222/G/S,https://eyewa.com/ae-en/carrera-202721j5g56ir-gold.html,68540,no,859,Glossy,Full,Gray,Carrera,Gold,Metal,Round,Wide (>139 mm),Full Rim,56 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 216/G/S,https://eyewa.com/ae-en/carrera-202479j5g52qt-gold.html,68538,no,769,Glossy,Full,Green,Carrera,Gold,Metal,Round,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 1033/S,https://eyewa.com/ae-en/carrera-203370kj163sp-gray.html,68522,no,899,Glossy,Full,Brown,Carrera,Gray,Metal,Aviator,Wide (>139 mm),Full Rim,63 mm,11 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 1028/GS,https://eyewa.com/ae-en/carrera-20272006j55gp-tortoise.html,68519,no,899,Glossy,Full,Green,Carrera,Tortoise,Metal,Round,Wide (>139 mm),Full Rim,55 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
PUMA - PU0316S,https://eyewa.com/ae-en/puma-pu0316s-black.html,63690,no,369,Glossy,Full,Black,PUMA,Black,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,57 mm,16 mm,Women,Sunglasses,No,,,,,,,,,,,,
PUMA - PU0308S,https://eyewa.com/ae-en/puma-pu0308s-black.html,63688,no,459,Glossy,Full,Black,PUMA,Black,Acetate,Aviator,Wide (>139 mm),Full Rim,56 mm,15 mm,Men,Sunglasses,No,,,,,,,,,,,,
PUMA - PU0315S,https://eyewa.com/ae-en/puma-pu0315s-black.html,63686,no,369,Glossy,Full,Black,PUMA,Black,Metal + Acetate,Square,Wide (>139 mm),Full Rim,56 mm,15 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
PUMA - PU0314S,https://eyewa.com/ae-en/puma-pu0314s-black.html,63684,no,459,Glossy,Full,Black,PUMA,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,57 mm,16 mm,Women,Sunglasses,No,,,,,,,,,,,,
McQ - MQ0273S,https://eyewa.com/ae-en/mcq-mq0273s-black.html,63664,no,609,Matte,Full,Black,McQ,Black,Acetate,Aviator,Wide (>139 mm),Full Rim,59 mm,14 mm,Men,Sunglasses,No,,,,,,,,,,,,
McQ - MQ0274S,https://eyewa.com/ae-en/mcq-mq0274s-blue.html,63662,no,609,Glossy,Full,Purple,McQ,Blue,Acetate,Rectangle,Wide (>139 mm),Full Rim,58 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
McQ - MQ0279SA,https://eyewa.com/ae-en/mcq-mq0279sa-tortoise.html,63660,no,699,Glossy,Full,Brown,McQ,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,55 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
McQ - MQ0283S,https://eyewa.com/ae-en/mcq-mq0283s-silver.html,63658,no,799,Glossy,Full,Brown,McQ,Silver,Metal,Square,Wide (>139 mm),Full Rim,51 mm,23 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
McQ - MQ0287SA,https://eyewa.com/ae-en/mcq-mq0287sa-silver.html,63656,no,749,Glossy,Full,Black,McQ,Silver,Metal,Square,Wide (>139 mm),Full Rim,62 mm,17 mm,Women,Sunglasses,No,,,,,,,,,,,,
McQ - MQ0288SA,https://eyewa.com/ae-en/mcq-mq0288sa-gold.html,63654,no,749,Glossy,Full,Brown,McQ,Gold,Metal,Round,Wide (>139 mm),Full Rim,58 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
MVMT SKINNY CAT,https://eyewa.com/ae-en/mvmt-skinny-cat-skc-002.html,63342,yes,239,Glossy,Full,Pink,MVMT,White,Acetate,Cat Eye,Wide (>139 mm),Full Rim,51 mm,16 mm,Women,Sunglasses,No,,191,,,,,,,,,,
Spectus KRISTEN,https://eyewa.com/ae-en/spectus-kristen-302-2718.html,69191,no,399,,,Clear,Spectus,Gold,Metal,Oval,Wide (>139 mm),Full Rim,52 mm,20 mm,Women,Glasses,No,141 mm,,,,,,,,,,,
Spectus CLARA,https://eyewa.com/ae-en/spectus-clara-gold-01.html,69202,no,399,,,Clear,Spectus,Gold,Metal,Hexagon,Normal (132-138 mm),Full Rim,54 mm,14 mm,Women,Glasses,No,132 mm,,,,,,,,,,,
PUMA PU0290O,https://eyewa.com/ae-en/puma-pu0290o.html,60230,no,499,Glossy,,Clear,PUMA,Tortoise,Plastic,Rectangle,Wide (>139 mm),Full Rim,55 mm,18 mm,"Men, Women",Glasses,No,150 mm,,,,,,,,,,,
Spectus JASPER - Titanium,https://eyewa.com/ae-en/spectus-jasper-titanium-307-0718.html,69196,no,549,,,Clear,Spectus,Black,Titanium,Round,Normal (132-138 mm),Full Rim,52 mm,20 mm,Men,Glasses,No,138 mm,,,,,,,,,,,
Spectus FAYE Clip On,https://eyewa.com/ae-en/spectus-faye-clip-on-000254-0500.html,69185,no,449,,,Clear,Spectus,Black,Metal,Aviator,Wide (>139 mm),Full Rim,55 mm,17 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
PUMA PU0263O,https://eyewa.com/ae-en/puma-pu0263o.html,60239,no,549,Glossy,,Clear,PUMA,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,16 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus HEATH,https://eyewa.com/ae-en/spectus-heath-303-0718.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectus ANTHONY,https://eyewa.com/ae-en/spectus-anthony-round-black.html,58787,no,399,Glossy,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,44 mm,21 mm,Men,Glasses,Yes,148 mm,,,,,,,,,,,
Spectus ETHAN,https://eyewa.com/ae-en/spectus-ethan-000180-0400.html,69159,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,18 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Artlife PINK,https://eyewa.com/ae-en/artlife-pink-al68366101.html,69064,no,399,,,Clear,Artlife,Gold,Metal,Square,Wide (>139 mm),Full Rim,52 mm,21 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus CARDINAL,https://eyewa.com/ae-en/spectus-cardinal-000229-0700.html,,,,,,Clear,Spectus,Gray,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Glasses,No,139 mm,,,,,,,,,,,
Spectus TIMOTHY - Titanium,https://eyewa.com/ae-en/spectus-timothy-titanium-308-0718.html,69197,no,549,,,Clear,Spectus,Black,Titanium,Hexagon,Wide (>139 mm),Full Rim,53 mm,20 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus RITA,https://eyewa.com/ae-en/spectus-rita-301-2718.html,69190,no,399,,,Clear,Spectus,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,53 mm,18 mm,Women,Glasses,No,142.2 mm,,,,,,,,,,,
Spectus JOELLE,https://eyewa.com/ae-en/spectus-joelle-300-2718.html,69189,no,399,,,Clear,Spectus,Gold,Metal,Round,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Glasses,No,138.8 mm,,,,,,,,,,,
Via Pampa Poets corner II,https://eyewa.com/ae-en/via-pampa-poets-corner-ii-col-21.html,69245,no,399,,,Clear,Via Pampa,Brown,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Women,Glasses,No,143 mm,,,,,,,,,,,
Mr. Wonderful Tortoise Square,https://eyewa.com/ae-en/mr-wonderful-tortoise-square-mw69016596.html,57710,no,399,Glossy,,Clear,Mr. Wonderful,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Puma 0306O,https://eyewa.com/ae-en/puma-0306o-0306o-0030.html,69263,no,559,,,Clear,PUMA,Gray,Acetate,Square,Wide (>139 mm),Full Rim,56 mm,14 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Babamio BEXLEY Clip On - Kids 5-8 Years,https://eyewa.com/ae-en/babamio-bexley-clip-on-eyeglasses-kids-5-8-years-magneto10-c3.html,69090,no,449,,,Clear,Babamio,,Plastic,Round,Narrow (< 131 mm),Full Rim,44 mm,19 mm,Kids,Glasses,No,124.3 mm,,,,,,,,,,,
McQ MQ0261OA,https://eyewa.com/ae-en/mcq-mq0261oa-001.html,69108,no,589,,,Clear,McQ,Gold,Metal,Round,Wide (>139 mm),Full Rim,57 mm,14 mm,Men,Glasses,No,150 mm,,,,,,,,,,,
Spectus SANTIAGO - Titanium,https://eyewa.com/ae-en/spectus-santiago-titanium-305-0718.html,69194,no,549,,,Clear,Spectus,Black,Titanium,Round,Wide (>139 mm),Full Rim,53 mm,20 mm,Men,Glasses,No,139 mm,,,,,,,,,,,
Babamio JOYFUL - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-joyful-kids-ages-5-8-000123-0100.html,58771,no,399,Glossy,,Clear,Babamio,Black,Acetate,Hexagon,Narrow (< 131 mm),Full Rim,44 mm,19 mm,Kids,Glasses,No,128 mm,,,,,,,,,,,
Babamio WHEEZY - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-wheezy-eg-tf1364-47-002.html,69093,no,399,,,Clear,Babamio,Blue,Acetate,Square,Narrow (< 131 mm),Full Rim,47 mm,16 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Spectus CHANDLER,https://eyewa.com/ae-en/spectus-chandler-tf1319-50-012.html,69208,no,399,,,Clear,Spectus,Blue,Acetate,Round,Wide (>139 mm),Full Rim,50 mm,22 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
McQ MQ0292O,https://eyewa.com/ae-en/mcq-mq0292o-002-gold.html,63727,no,799,Glossy,,Clear,McQ,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,55 mm,18 mm,Women,Glasses,No,,,,,,,,,,,,
Spectus CLARK Clip On,https://eyewa.com/ae-en/spectus-clark-clip-on-000257-0400.html,69188,no,449,,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,55 mm,17 mm,Men,Glasses,No,,,,,,,,,,,,
Spectus JENNIE,https://eyewa.com/ae-en/spectus-jennie-000231-0900.html,,,,,,Clear,Spectus,Blue,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,21 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
McQ MQ0262O,https://eyewa.com/ae-en/mcq-mq0262o.html,60251,no,769,Glossy,,Clear,McQ,Gold,Metal,Hexagon,Wide (>139 mm),Full Rim,56 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
PUMA PU0254O,https://eyewa.com/ae-en/puma-pu0254o.html,69111,no,399,,,Clear,PUMA,Black,Rubber,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
