,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Layala Lenses - 2 lenses - Golden Brown,https://eyewa.com/ae-en/layala-lenses-pack-of-2-golden-brown.html,13697,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.2 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme 2019 Collection - 2 lenses - Latte,https://eyewa.com/ae-en/lensme-2019-collection-pack-of-2-latte.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Frutti - 2 lenses - UVA,https://eyewa.com/ae-en/la-loggia-frutti-pack-of-2-uva.html,12436,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Elite - 2 lenses - Silky Green,https://eyewa.com/ae-en/bella-elite-pack-of-2-silky-green.html,11911,no,159,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Layala Lenses - 2 lenses - Chocolate Brown,https://eyewa.com/ae-en/layala-lenses-pack-of-2-chocolate-brown.html,13697,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.2 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Sama Lenses - Daily Collection - 10 lenses - Hazelnut,https://eyewa.com/ae-en/sama-lenses-daily-collection-10-lenses-hazelnut.html,13025,no,120,,,,Sama Lenses,,,,,,,,,,,,,14.2 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
Sama Lenses - Daily Collection - 10 lenses - Cloud Gray,https://eyewa.com/ae-en/sama-lenses-daily-collection-10-lenses-cloud-gray.html,13025,no,120,,,,Sama Lenses,,,,,,,,,,,,,14.2 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
La Loggia Soiree - 2 lenses - Ametista,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-ametista.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Nature - 2 lenses,https://eyewa.com/ae-en/la-loggia-nature-pack-of-2.html,12421,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - New York Verde,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-new-york-verde.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
